player,name,search_key,nationalite,nationalites_brut,postes,nb_clubs,apps_top5,sitelinks,championnats,first_year,last_year,matchs_grands_clubs,score,difficulte
Q7410019,Samon Reider Rodríguez,samon reider rodriguez,Cuba,Cuba,milieu de terrain,8,0,3,SA,2007,2013,0,3,exclu
Q7410376,Samson Kayode,samson kayode,Nigeria / Vietnam,Nigeria / Vietnam,attaquant,5,0,11,LIGA,2007,2011,0,11,exclu
Q7410884,Samuel Baños,samuel banos,Espagne,Espagne,milieu de terrain,11,18,7,LIGA,1996,2017,0,9,legende
Q7411881,Samuel José da Silva Vieira,samuel jose da silva vieira,Brésil,Brésil,défenseur / défenseur central,13,2,4,SA,1994,2011,0,4,exclu
Q7413025,Samuele Romeo,samuele romeo,Italie,Italie,défenseur,6,0,5,SA,2008,2014,0,5,exclu
Q7413162,Samy Derras,samy derras,Algérie / France,Algérie / France,milieu de terrain,4,1,2,SA,2008,2013,0,2,exclu
Q7420322,Santiago Mina,santiago mina,Espagne,Espagne,attaquant,3,50,30,LIGA,2012,2015,0,35,legende
Q7435988,Scott Bevan,scott bevan,Royaume-Uni,Royaume-Uni,gardien de but,6,0,5,PL,1997,2004,0,5,exclu
Q7436223,Scott Davies,scott davies,Royaume-Uni,Royaume-Uni,défenseur,10,2,5,PL,2006,2014,0,5,exclu
Q7436252,Scott Donnelly,scott donnelly,Royaume-Uni,Royaume-Uni,milieu de terrain,9,0,5,PL,2004,2014,0,5,exclu
Q7436604,Scott Kay,scott kay,Royaume-Uni,Royaume-Uni,milieu de terrain,6,0,3,PL,2009,2015,0,3,exclu
Q7436615,Scott Kerr,scott kerr,Angleterre,Royaume-Uni,milieu de terrain,12,1,4,PL,1999,2016,0,4,exclu
Q7436975,Scott Oakes,scott oakes,Royaume-Uni,Royaume-Uni,milieu excentré,9,6,4,PL,1989,2008,0,5,exclu
Q7437122,Scott Rendell,scott rendell,Royaume-Uni,Royaume-Uni,attaquant,14,0,4,PL,2004,2014,0,4,exclu
Q7437292,Scott Spencer,scott spencer,Angleterre,Royaume-Uni,attaquant,9,0,5,PL,2006,2015,0,5,exclu
Q7441015,Sean Friars,sean friars,Royaume-Uni,Royaume-Uni,attaquant,10,0,5,PL,1998,2010,0,5,exclu
Q7441133,Sean Kilgannon,sean kilgannon,Royaume-Uni,Royaume-Uni,milieu de terrain,7,1,2,PL,1999,2009,0,2,exclu
Q7441228,Sean McDermott,sean mcdermott,Irlande / Norvège,Irlande / Norvège,gardien de but,7,0,15,PL,2012,2019,0,15,exclu
Q7441478,Sean Taylor,sean taylor,Royaume-Uni,Royaume-Uni,milieu de terrain,3,0,2,PL,2003,2007,0,2,exclu
Q7441492,Sean Thornton,sean thornton,Irlande,Irlande,milieu de terrain,10,16,4,PL,2001,2014,0,6,legende
Q7442493,Sebastian Olszar,sebastian olszar,Pologne,Pologne,attaquant,12,0,3,PL,2000,2014,0,3,exclu
Q7442542,Sebastian Usai,sebastian usai,Australie,Australie,gardien de but,6,0,3,PL,2010,2015,0,3,exclu
Q7442646,Sebastián Gallegos,sebastian gallegos,Uruguay,Uruguay,attaquant,7,0,7,LIGA,2009,2016,0,7,exclu
Q7453345,Serge Nyuiadzi,serge nyuiadzi,France / Togo,France / Togo,attaquant,4,0,10,L1,2011,2016,0,10,exclu
Q7454205,Sergio Calatayud Lebrón,sergio calatayud lebron,Espagne,Espagne,milieu de terrain,5,1,4,LIGA,2009,2015,0,4,exclu
Q7454211,Sergio Carnesalini,sergio carnesalini,Italie,Italie,arrière latéral / défenseur,8,0,3,SA,2001,2013,0,3,exclu
Q7454242,Sergio Díaz Castilla,sergio diaz castilla,Espagne,Espagne,défenseur,7,0,5,LIGA,2010,2014,0,5,exclu
Q7454274,Sergio García de la Iglesia,sergio garcia de la iglesia,Espagne,Espagne,attaquant,6,0,5,LIGA,2006,2015,0,5,exclu
Q7454313,Sergio Mantecón,sergio mantecon,Espagne,Espagne,milieu de terrain,7,30,7,LIGA,2001,2014,0,10,legende
Q7454357,Sergio Pelegrín,sergio pelegrin,Espagne,Espagne,défenseur,10,48,11,LIGA,1998,2015,0,16,legende
Q7454386,Sergio Rodríguez Hurtado,sergio rodriguez hurtado,Espagne,Espagne,milieu excentré,5,4,7,LIGA,2011,2015,0,7,exclu
Q7454449,Sergio Viotti,sergio viotti,Italie,Italie,gardien de but,10,0,6,SA,2006,2015,0,6,exclu
Q7454599,Serhiy Predko,serhiy predko,Ukraine,Ukraine,défenseur,4,0,3,SA,2006,2010,0,3,exclu
Q7488006,Shane Cansdell-Sherriff,shane cansdellsherriff,Australie,Australie,défenseur,7,0,6,PL,1999,2014,0,6,exclu
Q7488226,Shane Paul,shane paul,Royaume-Uni,Royaume-Uni,attaquant,6,0,4,PL,2005,2011,0,4,exclu
Q7490496,Sharu Naraji,sharu naraji,Iran,Iran,milieu excentré,4,0,4,LIGA / PL,2004,2007,0,4,exclu
Q7490808,Shaun Byrne,shaun byrne,Royaume-Uni,Royaume-Uni,défenseur,8,2,3,PL,1999,2009,0,3,exclu
Q7490819,Shaun Cooper,shaun cooper,Royaume-Uni,Royaume-Uni,défenseur,9,3,6,PL,2000,2017,0,6,exclu
Q7490882,Shaun Holmes,shaun holmes,Irlande du Nord,Royaume-Uni,défenseur,7,0,4,PL,1999,2010,0,4,exclu
Q7491698,Shayne Bradley,shayne bradley,Royaume-Uni,Royaume-Uni,attaquant,7,2,5,PL,1998,2003,0,5,exclu
Q7493284,Sheku Kamara,sheku kamara,Royaume-Uni,Royaume-Uni,défenseur,2,0,2,PL,2006,2007,0,2,exclu
Q7499558,Shlomi Dahan,shlomi dahan,Israël,Israël,milieu de terrain,11,0,4,BUN,1998,2014,0,4,exclu
